neo_alpha,neo_beta,modern_alpha,modern_beta,tech_alpha,tech_beta,brutal_alpha,brutal_beta,bio_alpha,bio_beta,park_alpha,park_beta
6.079565314116758e-07,8.74427300412793e-07,7.667590026327533e-07,1.1026215379685556e-06,9.775140781200229e-07,9.277088328099188e-07,6.079565314116758e-07,8.74427300412793e-07,7.930253382418782e-07,1.6988862627109741e-06,7.930253382418782e-07,1.6988862627109741e-06
6.38547324398648e-07,6.743778135227795e-07,6.954867101253928e-07,5.218746349079151e-07,6.060020892922139e-07,7.177913046239871e-07,6.38547324398648e-07,6.743778135227795e-07,7.54859393098551e-07,6.960635301672014e-07,6.404776740624556e-07,7.116613733960289e-07
3.2389186296333754e-06,6.138172384038104e-07,4.615973985698367e-06,1.6828529645547795e-06,1.5398287689120197e-06,4.841881758201301e-07,3.713561756790639e-06,8.628421957292998e-07,4.155987919825814e-06,1.3229187010644059e-06,3.2975927520686753e-06,5.098189733578618e-07
4.846094737126747e-07,1.3412920566000845e-06,4.4104850607710925e-07,1.0827249004729535e-06,5.221391830914674e-07,1.241234034609297e-06,6.090208689533528e-07,9.60692593262215e-07,6.954204905341686e-07,1.3453506049431598e-06,6.237961214074002e-07,8.788957574715035e-07
1.0449345029783732e-06,4.184415743082721e-07,1.1723027678989562e-06,4.0083697697595186e-07,6.875393870484814e-07,3.2852170327275426e-07,7.537213131857283e-07,4.006991994273121e-07,7.202757894621863e-07,3.676440001433851e-07,1.0449345029783732e-06,4.184415743082721e-07
1.0738339211880285e-06,3.753024510487279e-07,1.0738339211880285e-06,3.753024510487279e-07,9.390093396605192e-07,4.3077599390773e-07,9.060608155980624e-07,4.7544599888089804e-07,1.3273513680384294e-06,3.881965627723841e-07,9.123382807790171e-07,3.798792099995478e-07
9.389554373376874e-07,4.295949578610181e-07,8.272290595929522e-07,6.187141430335903e-07,7.971632577125671e-07,3.01379317299528e-07,8.497825948708748e-07,3.9923178971761826e-07,7.36466108523428e-07,5.793809163282936e-07,9.336100128929603e-07,4.960445723035224e-07
6.702431617547807e-07,7.298949045194483e-07,8.673374465489259e-07,5.729794507804023e-07,1.4812543007989595e-06,7.807489938414569e-07,1.8324976022651332e-06,7.361597857854542e-07,8.601974236086241e-07,6.332462883686433e-07,1.02722545002993e-06,4.4475459432603367e-07
1.1774314878121343e-06,5.31721807530259e-07,1.5416994776994668e-06,5.231763070023405e-07,1.1679992385192063e-06,4.835689098793194e-07,1.5416994776994668e-06,5.231763070023405e-07,1.0003935508329206e-06,4.1423436215843753e-07,1.3042059009324911e-06,4.7402133707317056e-07
1.2955393262116092e-06,7.307829960004403e-07,9.230980945671985e-07,8.851553514224831e-07,9.230980945671985e-07,8.851553514224831e-07,1.0765131948416924e-06,9.54734351681722e-07,6.452444024194047e-07,8.856724416320652e-07,1.0743400742411936e-06,7.762747544239861e-07
1.204263130843616e-06,4.0553341231195535e-07,1.3876915578553132e-06,5.810249334543864e-07,9.358445130083624e-07,3.296738063384218e-07,1.021799090722334e-06,4.994977048721402e-07,8.29776044614416e-07,4.131944121834367e-07,8.240333364299501e-07,3.8564680855889534e-07
8.035204464681196e-07,5.897008912122349e-07,5.764891664683819e-07,5.740517867467274e-07,5.566403810589093e-07,4.466781046814352e-07,5.65333939392064e-07,5.264890473995672e-07,8.035204464681196e-07,5.897008912122349e-07,6.492051402006138e-07,5.355715798226634e-07
6.681209791802038e-07,4.0977408448679813e-07,1.1037856528802874e-06,3.219510839325263e-07,6.149828690490162e-07,4.1219033177724196e-07,6.857325889559939e-07,5.200662602075733e-07,1.9172997055242163e-07,1.6279556538810407e-07,7.140482917428291e-07,4.2675210498957926e-07
1.0276271035952309e-06,4.775986056371527e-07,6.718606083988496e-07,4.2525929217228826e-07,8.761407432662515e-07,4.205255345556373e-07,1.0577243014540774e-06,4.800383140692683e-07,1.142249428462067e-06,4.808321410131334e-07,8.890798587943072e-07,6.071307299384629e-07
1.0982471512621209e-06,3.6017322732077496e-07,1.197544169803431e-06,4.6943555608742357e-07,1.1538077765976884e-06,4.092240317581264e-07,9.772330908262395e-07,5.269107523601796e-07,1.301007299977108e-06,4.2159260277377706e-07,1.36345906437109e-06,4.640346956495446e-07
8.191540007145688e-07,3.3789352416108676e-07,9.38779655017486e-07,6.338643036184836e-07,9.417819929291395e-07,3.81506905268124e-07,6.153912386060996e-07,2.3502734592947248e-07,1.9235495898472766e-06,9.487691302455253e-07,1.153166024365823e-06,4.5226663754812353e-07
